ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
hGt4h3L0AFg,Đánh giá tai nghe SOUNDMAGIC E50C: Chất âm vượt xa tầm giá!,https://i.ytimg.com/vi/hGt4h3L0AFg/default.jpg,https://i.ytimg.com/vi/hGt4h3L0AFg/mqdefault.jpg,https://i.ytimg.com/vi/hGt4h3L0AFg/hqdefault.jpg
dRJVAuGKRSc,"Loa TAKO A730 chỉ 210K | Review loa máy tính giá rẻ, âm thanh sống động, chân thực",https://i.ytimg.com/vi/dRJVAuGKRSc/default.jpg,https://i.ytimg.com/vi/dRJVAuGKRSc/mqdefault.jpg,https://i.ytimg.com/vi/dRJVAuGKRSc/hqdefault.jpg
3RaUovJCMNU,"Review Camera SC-3 - 4K/60 fps - Ban ngày màu sắc quá đẹp, Đêm tạm ổn.",https://i.ytimg.com/vi/3RaUovJCMNU/default.jpg,https://i.ytimg.com/vi/3RaUovJCMNU/mqdefault.jpg,https://i.ytimg.com/vi/3RaUovJCMNU/hqdefault.jpg
urJ-rqz0ZvU,Cách Cài Đặt Mesh WiFi Mới Nhất Mạng VNPT,https://i.ytimg.com/vi/urJ-rqz0ZvU/default.jpg,https://i.ytimg.com/vi/urJ-rqz0ZvU/mqdefault.jpg,https://i.ytimg.com/vi/urJ-rqz0ZvU/hqdefault.jpg
d0eDtX_aDkc,Trải nghiệm tai nghe chống ồn Bose QuietComfort 45 (QC 45),https://i.ytimg.com/vi/d0eDtX_aDkc/default.jpg,https://i.ytimg.com/vi/d0eDtX_aDkc/mqdefault.jpg,https://i.ytimg.com/vi/d0eDtX_aDkc/hqdefault.jpg
2CG9tC_P8z4,"Laptop 9 Triệu Mỏng Nhẹ, Có Sẵn Windows & Office Bản Quyền",https://i.ytimg.com/vi/2CG9tC_P8z4/default.jpg,https://i.ytimg.com/vi/2CG9tC_P8z4/mqdefault.jpg,https://i.ytimg.com/vi/2CG9tC_P8z4/hqdefault.jpg
4xo3HLyDebw,Micro Thu Âm Không Dây giá rẻ cho Điện Thoại iPhone và Androi - Micro SMI-01,https://i.ytimg.com/vi/4xo3HLyDebw/default.jpg,https://i.ytimg.com/vi/4xo3HLyDebw/mqdefault.jpg,https://i.ytimg.com/vi/4xo3HLyDebw/hqdefault.jpg
PJgilvRQeps,"iPhone 13 Pro Max là chiếc iPhone hoàn hảo nhất từ trước tới nay, nhưng mình vẫn muốn thêm !!!",https://i.ytimg.com/vi/PJgilvRQeps/default.jpg,https://i.ytimg.com/vi/PJgilvRQeps/mqdefault.jpg,https://i.ytimg.com/vi/PJgilvRQeps/hqdefault.jpg
cTiwmxVNEzk,Sony SRS-XP500 - Party với loa này thì hết nấc !!!,https://i.ytimg.com/vi/cTiwmxVNEzk/default.jpg,https://i.ytimg.com/vi/cTiwmxVNEzk/mqdefault.jpg,https://i.ytimg.com/vi/cTiwmxVNEzk/hqdefault.jpg
Bni9tXB0_cQ,DJI Announced a Wireless Mic | Better than the Rode Wireless Go2??,https://i.ytimg.com/vi/Bni9tXB0_cQ/default.jpg,https://i.ytimg.com/vi/Bni9tXB0_cQ/mqdefault.jpg,https://i.ytimg.com/vi/Bni9tXB0_cQ/hqdefault.jpg
